                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59263,                 1.7231,                0.94333,                0.98585,                0.95246,                0.99483,                0.89729,                0.51789,                 1.4072,                0.79551,              0.0005001,              0.0005001,              0.0005001
                      2,                0.52826,                0.91054,                0.88134,                0.99346,                0.98214,                0.99304,                 0.9381,                0.48887,                 1.2198,                0.79959,              0.0010068,              0.0010068,              0.0010068
                      3,                 0.5157,                0.78725,                0.87779,                0.93425,                0.97154,                0.97769,                  0.924,                0.36318,                 1.0263,                0.79357,              0.0015033,              0.0015033,              0.0015033
                      4,                0.50377,                0.72464,                0.87549,                0.96474,                0.98214,                0.99351,                0.89851,                0.49248,                0.95971,                0.86016,              0.0016175,              0.0016175,              0.0016175
                      5,                0.47857,                0.65627,                0.88003,                0.99848,                      1,                  0.995,                0.95132,                0.34457,                 0.5333,                0.81903,              0.0016175,              0.0016175,              0.0016175
                      6,                0.45521,                 0.6344,                0.86846,                0.99711,                      1,                  0.995,                0.94976,                0.34287,                0.56473,                0.82088,               0.001601,               0.001601,               0.001601
                      7,                0.43935,                0.59312,                0.86662,                0.99474,                      1,                  0.995,                0.97047,                0.34268,                0.73452,                0.83586,              0.0015845,              0.0015845,              0.0015845
                      8,                0.41492,                 0.5327,                 0.8628,                0.99734,                      1,                  0.995,                 0.9343,                 0.3735,                0.46824,                0.82123,               0.001568,               0.001568,               0.001568
                      9,                0.42506,                0.49775,                0.86055,                0.98619,                      1,                  0.995,                0.98122,                0.30695,                0.47059,                0.81672,              0.0015515,              0.0015515,              0.0015515
                     10,                 0.4474,                0.49151,                0.86636,                0.99849,                      1,                  0.995,                0.97156,                0.29987,                 0.4168,                0.81313,               0.001535,               0.001535,               0.001535
                     11,                0.40237,                0.45679,                0.85822,                 0.9987,                      1,                  0.995,                0.95049,                0.35623,                0.47155,                0.82822,              0.0015185,              0.0015185,              0.0015185
                     12,                0.40615,                0.45363,                0.86173,                0.99884,                      1,                  0.995,                0.97526,                0.26579,                0.37332,                0.81279,               0.001502,               0.001502,               0.001502
                     13,                0.38844,                0.42855,                0.85573,                0.99817,                      1,                  0.995,                 0.9606,                 0.2859,                0.35183,                0.82278,              0.0014855,              0.0014855,              0.0014855
                     14,                0.39816,                0.42982,                0.85049,                0.99846,                      1,                  0.995,                 0.9755,                0.27059,                 0.3363,                0.81814,               0.001469,               0.001469,               0.001469
                     15,                0.40811,                0.41098,                0.86208,                0.99863,                      1,                  0.995,                0.95821,                0.29955,                 0.3106,                0.81766,              0.0014525,              0.0014525,              0.0014525
                     16,                0.38009,                0.38461,                0.85593,                0.99895,                      1,                  0.995,                0.96732,                0.27493,                0.28703,                0.81651,               0.001436,               0.001436,               0.001436
                     17,                0.36557,                0.36278,                0.85054,                0.99825,                      1,                  0.995,                0.97899,                0.26906,                0.30861,                0.82577,              0.0014195,              0.0014195,              0.0014195
                     18,                0.38189,                0.37517,                0.85856,                0.99843,                      1,                  0.995,                0.97603,                0.27224,                  0.291,                0.81912,              0.0014029,              0.0014029,              0.0014029
                     19,                0.36852,                0.35936,                0.84607,                0.99862,                      1,                  0.995,                0.97844,                0.24081,                0.26553,                0.81721,              0.0013864,              0.0013864,              0.0013864
